campaign_id,channel,campaign_name,start_date,daily_budget
37,DISPLAY,CAMP-0037,2026-03-22,171043.14
38,SOCIAL,CAMP-0038,2026-06-11,131234.15
39,EMAIL,CAMP-0039,2026-06-29,45568.39
40,EMAIL,CAMP-0040,2026-08-19,175876.78
41,AFFILIATE,CAMP-0041,2026-02-08,65574.37
42,SOCIAL,CAMP-0042,2026-07-01,70014.32
43,SOCIAL,CAMP-0043,2026-06-23,36063.92
44,SOCIAL,CAMP-0044,2026-01-30,156885.86
45,SOCIAL,CAMP-0045,2026-07-30,33764.41
46,SEARCH,CAMP-0046,2026-03-17,89578.12
47,DISPLAY,CAMP-0047,2026-04-12,222932.94
48,SOCIAL,CAMP-0048,2026-07-11,116001.18
49,SOCIAL,CAMP-0049,2026-05-06,224153.66
50,DISPLAY,CAMP-0050,2026-03-08,125715.66
51,AFFILIATE,CAMP-0051,2026-03-19,48814.28
52,SOCIAL,CAMP-0052,2026-06-27,190934.35
53,SOCIAL,CAMP-0053,2026-02-13,91594.62
54,DISPLAY,CAMP-0054,2026-04-24,241770.6
55,SOCIAL,CAMP-0055,2026-06-29,69221.66
56,DISPLAY,CAMP-0056,2026-08-01,206426.12
57,AFFILIATE,CAMP-0057,2026-07-18,125995.79
58,AFFILIATE,CAMP-0058,2026-03-28,211322.41
59,EMAIL,CAMP-0059,2026-02-17,49843.88
60,SEARCH,CAMP-0060,2026-08-13,160248.78
61,DISPLAY,CAMP-0061,2026-05-24,32730.49
62,EMAIL,CAMP-0062,2026-04-08,202351.38
63,SEARCH,CAMP-0063,2026-08-05,62735.14
64,DISPLAY,CAMP-0064,2026-06-24,109755.99
65,SOCIAL,CAMP-0065,2026-04-25,165713.99
66,SOCIAL,CAMP-0066,2026-02-16,122162.58
67,AFFILIATE,CAMP-0067,2026-01-20,195829.75
68,SOCIAL,CAMP-0068,2026-05-08,173601.77
69,SEARCH,CAMP-0069,2026-01-28,36949.41
70,SOCIAL,CAMP-0070,2026-03-16,194498.39
71,AFFILIATE,CAMP-0071,2026-06-13,108753.17
72,EMAIL,CAMP-0072,2026-01-04,151450.64
73,AFFILIATE,CAMP-0073,2026-08-26,58060.43
74,SEARCH,CAMP-0074,2026-04-15,108657.44
75,SOCIAL,CAMP-0075,2026-07-28,205204.47
76,SOCIAL,CAMP-0076,2026-02-11,231934.04
77,SEARCH,CAMP-0077,2026-04-21,234980.48
78,AFFILIATE,CAMP-0078,2026-08-19,176521.77
79,SOCIAL,CAMP-0079,2026-06-01,24333.04
80,EMAIL,CAMP-0080,2026-07-14,113445.16
81,DISPLAY,CAMP-0081,2026-06-14,52302.44
82,SOCIAL,CAMP-0082,2026-06-27,175915.57
83,SEARCH,CAMP-0083,2026-03-29,44535.93
84,DISPLAY,CAMP-0084,2026-04-19,244506.17
85,SOCIAL,CAMP-0085,2026-01-12,52661.24
86,SOCIAL,CAMP-0086,2026-03-04,17914.86
87,AFFILIATE,CAMP-0087,2026-01-16,211668.99
88,SEARCH,CAMP-0088,2026-03-19,54556.47
89,SOCIAL,CAMP-0089,2026-06-24,10883.12
90,SEARCH,CAMP-0090,2026-02-19,139279.0
91,DISPLAY,CAMP-0091,2026-04-25,242462.27
92,SOCIAL,CAMP-0092,2026-05-13,70536.92
93,EMAIL,CAMP-0093,2026-02-09,105137.13
94,EMAIL,CAMP-0094,2026-07-14,63105.89
95,EMAIL,CAMP-0095,2026-07-05,141706.31
96,SEARCH,CAMP-0096,2026-02-14,84083.35
97,SOCIAL,CAMP-0097,2026-01-09,149884.06
98,DISPLAY,CAMP-0098,2026-01-02,122115.13
99,EMAIL,CAMP-0099,2026-03-12,232584.24
100,DISPLAY,CAMP-0100,2026-01-31,169154.29
